                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.00055,                 0.9768,                0.99913,                 1.4139,              0.0032114,              0.0032114,              0.0032114
                     51,                 0.0007,                0.97696,                0.99913,                 1.4138,                0.00307,                0.00307,                0.00307
                     52,                0.00059,                0.97712,                0.99913,                 1.4136,              0.0029286,              0.0029286,              0.0029286
                     53,                0.00036,                0.97727,                0.99913,                 1.4135,              0.0027871,              0.0027871,              0.0027871
                     54,                0.00051,                0.97767,                0.99913,                 1.4133,              0.0026457,              0.0026457,              0.0026457
                     55,                0.00053,                0.97799,                0.99905,                 1.4132,              0.0025043,              0.0025043,              0.0025043
                     56,                0.00042,                0.97799,                0.99905,                 1.4131,              0.0023629,              0.0023629,              0.0023629
                     57,                0.00043,                0.97799,                0.99897,                  1.413,              0.0022214,              0.0022214,              0.0022214
                     58,                0.00042,                 0.9783,                0.99889,                 1.4129,                0.00208,                0.00208,                0.00208
                     59,                0.00057,                 0.9783,                0.99881,                 1.4129,              0.0019386,              0.0019386,              0.0019386
                     60,                0.00035,                0.97807,                0.99881,                 1.4128,              0.0017971,              0.0017971,              0.0017971
                     61,                0.00041,                0.97815,                0.99865,                 1.4128,              0.0016557,              0.0016557,              0.0016557
                     62,                0.00034,                0.97822,                0.99865,                 1.4127,              0.0015143,              0.0015143,              0.0015143
                     63,                0.00033,                 0.9783,                0.99865,                 1.4127,              0.0013729,              0.0013729,              0.0013729
                     64,                0.00029,                0.97846,                0.99865,                 1.4126,              0.0012314,              0.0012314,              0.0012314
                     65,                0.00036,                0.97846,                0.99857,                 1.4126,                0.00109,                0.00109,                0.00109
                     66,                0.00039,                0.97838,                0.99857,                 1.4125,             0.00094857,             0.00094857,             0.00094857
                     67,                0.00027,                0.97838,                0.99857,                 1.4125,             0.00080714,             0.00080714,             0.00080714
                     68,                0.00029,                0.97838,                 0.9985,                 1.4125,             0.00066571,             0.00066571,             0.00066571
                     69,                 0.0003,                0.97838,                 0.9985,                 1.4125,             0.00052429,             0.00052429,             0.00052429
                     70,                0.00038,                0.97846,                 0.9985,                 1.4124,             0.00038286,             0.00038286,             0.00038286
