                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9799,                 6.9216,                  3.691,                0.76487,                0.12209,                0.17783,                0.06504,                 2.5207,                 3.9816,                 2.9104,             0.00030126,             0.00030126,             0.00030126
                      2,                 1.7172,                 2.9939,                 2.0207,                0.80144,                0.47639,                0.54837,                0.35647,                  1.236,                   1.43,                 1.5887,             0.00059828,             0.00059828,             0.00059828
                      3,                 1.2682,                 1.5869,                 1.4868,                  0.765,                0.62713,                0.68983,                0.48422,                 1.0413,                 1.0217,                 1.3077,             0.00088929,             0.00088929,             0.00088929
                      4,                  1.124,                 1.2001,                 1.3189,                0.71787,                0.65828,                 0.7414,                0.52266,                0.94222,                 0.9478,                 1.2439,               0.000882,               0.000882,               0.000882
                      5,                 1.0344,                0.97241,                  1.249,                0.85555,                0.73764,                 0.8085,                0.58249,                0.91699,                0.76671,                 1.1772,               0.000882,               0.000882,               0.000882
                      6,                 0.9741,                0.85017,                 1.1881,                0.84453,                 0.7869,                0.84115,                0.61429,                0.85176,                0.72001,                 1.1166,               0.000873,               0.000873,               0.000873
                      7,                0.92379,                0.76466,                 1.1502,                0.88287,                0.76872,                0.85587,                0.64239,                 0.8332,                0.67438,                 1.1219,               0.000864,               0.000864,               0.000864
                      8,                0.88295,                 0.7063,                 1.1212,                0.88477,                 0.7843,                0.87044,                0.64526,                 0.8529,                0.67195,                 1.1148,             0.00085501,             0.00085501,             0.00085501
                      9,                0.86802,                0.66979,                 1.1083,                0.88666,                0.86274,                0.91606,                0.68774,                0.85807,                0.58646,                  1.108,             0.00084601,             0.00084601,             0.00084601
                     10,                0.84346,                0.63956,                 1.0991,                0.87214,                0.84991,                0.92542,                0.70934,                0.78412,                0.54859,                 1.0949,             0.00083701,             0.00083701,             0.00083701
                     11,                0.83719,                0.60581,                 1.0979,                0.89653,                 0.8386,                0.93037,                0.71407,                0.76041,                0.53743,                 1.0633,             0.00082801,             0.00082801,             0.00082801
                     12,                0.81203,                0.57691,                 1.0684,                0.94538,                0.86467,                0.92537,                0.70713,                0.80168,                0.51694,                  1.084,             0.00081901,             0.00081901,             0.00081901
                     13,                0.82192,                0.55848,                  1.074,                0.96508,                0.86313,                0.94122,                 0.7292,                0.77892,                0.49882,                 1.0715,             0.00081001,             0.00081001,             0.00081001
                     14,                0.79867,                0.54525,                 1.0592,                0.96263,                0.87221,                0.94238,                0.73118,                0.72583,                0.46836,                 1.0447,             0.00080101,             0.00080101,             0.00080101
                     15,                0.79117,                0.54278,                 1.0543,                0.92514,                0.89939,                0.93859,                0.72483,                0.74955,                0.48189,                 1.0495,             0.00079201,             0.00079201,             0.00079201
                     16,                0.78115,                0.52835,                  1.048,                0.90854,                0.89452,                0.93538,                0.74131,                0.72226,                0.48477,                 1.0513,             0.00078301,             0.00078301,             0.00078301
                     17,                0.78028,                0.52239,                 1.0522,                0.92939,                0.91602,                0.95046,                0.73114,                 0.7413,                0.45735,                 1.0524,             0.00077401,             0.00077401,             0.00077401
                     18,                0.77937,                0.51848,                  1.049,                0.96658,                0.89278,                0.95291,                0.72916,                0.76072,                0.47292,                 1.0548,             0.00076501,             0.00076501,             0.00076501
                     19,                0.76419,                0.50686,                 1.0365,                0.94556,                0.87631,                 0.9528,                0.73885,                0.74791,                 0.4698,                 1.0442,             0.00075602,             0.00075602,             0.00075602
                     20,                0.76097,                0.50596,                 1.0348,                0.95945,                0.93468,                0.96309,                 0.7587,                0.70733,                0.43355,                 1.0296,             0.00074702,             0.00074702,             0.00074702
                     21,                0.74115,                0.48211,                 1.0266,                 0.9656,                 0.9022,                0.96578,                0.75458,                0.71366,                0.44535,                 1.0439,             0.00073802,             0.00073802,             0.00073802
                     22,                0.74954,                0.47827,                 1.0328,                0.96396,                0.90121,                0.95767,                0.75438,                0.70521,                0.41868,                 1.0288,             0.00072902,             0.00072902,             0.00072902
                     23,                0.73216,                0.47158,                 1.0191,                0.96224,                0.90974,                0.95958,                0.74757,                0.75112,                0.42755,                 1.0509,             0.00072002,             0.00072002,             0.00072002
                     24,                0.74632,                0.47069,                 1.0307,                0.96364,                0.89785,                0.95492,                0.76508,                0.69136,                0.42209,                 1.0204,             0.00071102,             0.00071102,             0.00071102
                     25,                0.73522,                0.45953,                 1.0243,                0.93039,                 0.9375,                0.96539,                0.78272,                 0.6794,                0.40263,                 1.0141,             0.00070202,             0.00070202,             0.00070202
                     26,                0.72023,                0.45196,                 1.0169,                0.95525,                 0.9163,                0.96248,                0.76852,                0.68681,                0.40676,                 1.0294,             0.00069302,             0.00069302,             0.00069302
                     27,                0.73196,                0.46021,                 1.0226,                 0.9577,                0.93933,                0.97145,                 0.7787,                0.69914,                 0.4041,                 1.0338,             0.00068402,             0.00068402,             0.00068402
                     28,                0.70827,                0.44145,                 1.0146,                0.96524,                0.92038,                 0.9683,                0.78215,                0.66639,                0.38627,                 1.0145,             0.00067502,             0.00067502,             0.00067502
                     29,                0.69874,                0.43617,                 1.0046,                0.95933,                0.92258,                0.96761,                0.77593,                0.67235,                0.40402,                 1.0199,             0.00066602,             0.00066602,             0.00066602
                     30,                0.70348,                0.43186,                 1.0117,                0.96561,                0.92182,                0.97388,                0.78479,                 0.6741,                0.37774,                 1.0176,             0.00065703,             0.00065703,             0.00065703
                     31,                0.71231,                0.43428,                 1.0122,                0.97554,                0.93397,                0.96809,                0.75415,                0.67445,                0.39566,                 1.0266,             0.00064803,             0.00064803,             0.00064803
                     32,                 0.6926,                0.43111,                 1.0065,                0.96376,                0.94873,                0.97402,                0.77814,                0.67085,                0.37917,                 1.0154,             0.00063903,             0.00063903,             0.00063903
                     33,                0.69417,                0.41739,                 1.0017,                 0.9719,                0.93173,                0.96735,                0.78166,                0.66311,                0.37862,                 1.0116,             0.00063003,             0.00063003,             0.00063003
                     34,                0.68442,                0.41602,                0.99914,                0.96744,                0.94263,                0.97164,                0.78167,                0.66896,                0.38496,                 1.0132,             0.00062103,             0.00062103,             0.00062103
                     35,                 0.6748,                 0.4066,                0.99224,                0.95519,                0.92513,                 0.9749,                0.77702,                0.67253,                0.38008,                 1.0187,             0.00061203,             0.00061203,             0.00061203
                     36,                0.68182,                0.41508,                0.99601,                0.94533,                0.95576,                0.97464,                0.77696,                0.66166,                0.37413,                 1.0083,             0.00060303,             0.00060303,             0.00060303
                     37,                0.68509,                0.41169,                 0.9939,                 0.9875,                0.91198,                0.97618,                0.79881,                0.64789,                0.36527,                0.99929,             0.00059403,             0.00059403,             0.00059403
                     38,                0.67308,                0.40943,                0.98802,                0.96739,                 0.9387,                0.97173,                0.77987,                0.66613,                0.36964,                 1.0106,             0.00058503,             0.00058503,             0.00058503
                     39,                 0.6725,                 0.4037,                0.98932,                0.96831,                0.93773,                0.97269,                0.78515,                0.64923,                0.37125,                 1.0028,             0.00057603,             0.00057603,             0.00057603
                     40,                0.66377,                0.39089,                0.99189,                0.97494,                0.92237,                0.97074,                0.77548,                0.68347,                0.38314,                 1.0193,             0.00056703,             0.00056703,             0.00056703
                     41,                0.66495,                0.39049,                 0.9796,                0.94903,                0.95842,                0.98066,                0.79474,                0.64726,                0.36325,                 1.0077,             0.00055804,             0.00055804,             0.00055804
                     42,                0.66708,                0.40082,                0.98812,                0.97856,                0.93175,                0.98148,                0.79018,                0.64881,                0.35984,                 1.0039,             0.00054904,             0.00054904,             0.00054904
                     43,                 0.6647,                0.39197,                0.98785,                0.96573,                0.95158,                0.97887,                0.78591,                 0.6643,                0.37321,                 1.0109,             0.00054004,             0.00054004,             0.00054004
                     44,                0.65746,                0.38698,                0.98267,                0.97084,                0.92294,                0.97661,                0.79587,                0.63614,                0.36118,                0.99947,             0.00053104,             0.00053104,             0.00053104
                     45,                0.65766,                  0.386,                0.98565,                0.96468,                0.92652,                0.97556,                0.80159,                0.63498,                0.35477,                 1.0033,             0.00052204,             0.00052204,             0.00052204
                     46,                0.65427,                0.38169,                0.98078,                0.97149,                 0.9427,                0.97634,                 0.7871,                0.66177,                0.35817,                 1.0041,             0.00051304,             0.00051304,             0.00051304
                     47,                0.65061,                0.38807,                0.98065,                0.97142,                0.92568,                0.98199,                0.80385,                0.64265,                0.34935,                 1.0004,             0.00050404,             0.00050404,             0.00050404
                     48,                 0.6518,                0.37729,                0.98499,                0.97226,                0.95082,                0.97999,                0.80087,                0.63595,                0.35123,                 1.0011,             0.00049504,             0.00049504,             0.00049504
                     49,                0.64452,                0.37038,                0.97635,                0.97511,                0.94379,                0.97929,                0.81073,                0.63182,                0.33743,                0.99659,             0.00048604,             0.00048604,             0.00048604
                     50,                0.63836,                0.36723,                 0.9754,                0.94601,                0.95963,                0.97757,                0.80365,                0.62682,                0.34576,                0.99838,             0.00047704,             0.00047704,             0.00047704
                     51,                0.64348,                0.37276,                0.97407,                 0.9306,                0.95734,                0.97808,                0.80111,                0.63761,                0.34539,                0.99464,             0.00046804,             0.00046804,             0.00046804
