                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4042,                 9.3214,                 4.2772,                0.11197,                0.01261,                0.00077,                 0.0002,                 1.9316,                  3.779,                 2.8081,             6.6284e-05,             6.6284e-05,             6.6284e-05
                      2,                 2.5977,                 7.1182,                 3.3624,                0.41101,                 0.0208,                0.02416,                0.01159,                 1.4049,                  7.343,                 2.0898,             0.00013163,             0.00013163,             0.00013163
                      3,                 1.9331,                 5.1199,                 2.4438,                0.31525,                0.25641,                0.08798,                0.05794,                 1.0644,                 33.285,                 1.4924,             0.00019566,             0.00019566,             0.00019566
                      4,                 1.5791,                 4.0573,                 1.9799,                0.23066,                0.20798,                0.08564,                0.05834,                0.85025,                 32.655,                  1.252,             0.00019406,             0.00019406,             0.00019406
                      5,                 1.4101,                 3.4258,                 1.7423,                0.17175,                0.31995,                0.12458,                0.09034,                 0.7639,                 30.114,                  1.101,             0.00019406,             0.00019406,             0.00019406
                      6,                 1.2698,                 3.0278,                 1.5872,                0.26677,                0.22955,                0.11534,                0.08573,                0.70312,                 20.837,                  1.063,             0.00019208,             0.00019208,             0.00019208
                      7,                 1.1915,                 2.6818,                 1.4893,                0.24534,                0.30774,                0.14955,                0.11202,                0.72044,                 38.532,                 1.0314,              0.0001901,              0.0001901,              0.0001901
                      8,                 1.1325,                 2.4975,                 1.4286,                0.25408,                0.41727,                0.17952,                0.13419,                0.67675,                 41.224,                0.97998,             0.00018812,             0.00018812,             0.00018812
                      9,                 1.0816,                 2.2995,                 1.3691,                0.69466,                0.19087,                0.17688,                 0.1364,                0.61449,                 34.955,                0.90863,             0.00018614,             0.00018614,             0.00018614
                     10,                   1.04,                 2.1604,                 1.3341,                0.52396,                0.28126,                0.21178,                0.16213,                0.62764,                 37.116,                0.92371,             0.00018416,             0.00018416,             0.00018416
                     11,                 1.0146,                   2.06,                 1.3077,                0.57137,                0.28803,                0.24642,                0.19246,                0.61983,                 41.313,                0.90641,             0.00018218,             0.00018218,             0.00018218
